,날짜,리뷰,평점
182,2020.05.20 11:24,와 무슨 공포영화 보는것처럼엄청 쪼입니다 긴장감 대박,10
183,2020.05.20 06:34,,10
184,2020.05.20 03:41,제가 인생 통틀어서 실화영화중에 제일 재밌게 봤어요...아무래도 실화이다보니 영화중간중간 개연성이 떨어지지만 그래도 나름 긴장의 끈은 초반부터 엔딩크레딧까지 이어지는게 이 영화의 묘미입니다. 배우들 연기는 말할것도 없고 백그라운드 뮤직도 스릴을 더했네요. ,10
185,2020.05.19 23:11,재밌다. 실화는 늘 재밌다. 너무 멋있는 사람들의 이야기. 마치 내가 감옥에 들어가 있는 듯한 기분을 영화를 통해 느꼇고 공포영화에서 주는기분나쁜 긴장감이 아닌 어떤 중요한 일을 이루어 내기 위해 생기는 긴장감을 주는 카메라구도와 스토리전개 그리고 배우들의 연기가 매우 효과적이였다. 대단하다. 할리우드. ,10
186,2020.05.19 23:02,진짜 최고 !!그리고 감동. 기대 훨 이상이었고 지루할 틈 없었음,10
187,2020.05.19 20:49,덜덜덜 떨고있음영화가 끝나고 10분이 지났는데도,10
188,2020.05.19 08:15,평점이 너무 낮은데??이런 멋진영화가 8점이라니.. 마지막 죄수들 웃을땐 ㅎ캬 사이다!!,10
189,2020.05.19 02:48,영화보고 집와서 누웟는데 계속 열쇠로 철문 여는 소리가 딸칵 딸칵 ㅋㅋ 영화 보는 내내 문만 100번은 진짜 연거같다. 뭔 열쇠집착증 수준의 영화였지만~ 제법 창의적이고 굉장히 스릴넘치는 영화였다 ㅋ 재밌어요 걱정말고 예매해서 보세요 ,8
190,2020.05.18 20:21,다니얼 래드클리프가 해리포터에서 탈출했다,8
191,2020.05.17 21:37,주인공의 투쟁보다는 오히려 데니스의 투쟁이 더 와닿았습니다.,8
192,2020.05.17 21:00,랑데자뷰에 있을 때가 좋았다..,10
193,2020.05.17 20:55,갑자기 낙원타코 가 땡기네,10
194,2020.05.17 20:12,와우....액션영화만 영화가 아니죠.이 정도의 스릴은 정말 최곱니다.,10
195,2020.05.17 18:44,오랜만에 몰입하며 재미있게 보았습니다~,10
196,2020.05.17 18:28,긴장감과 몰입도가 괜찮다. 인권적인 부분도 있지만 그 부분을 메인으로 하지 않고 탈옥 그 자체에 초점을 맞춰서 오락적인 재미가 만족스럽다.,10
197,2020.05.17 16:07,이거랑 건즈 아킴보랑 헷갈렸는데 그거 아님 ㅋㅋ 꿀잼 보장,10
